id,outlet,url,published_at,title,lead,rubric,language,country
e305ff529b4c,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186286-nahodyaschiisya-pod-strazhei,2026-03-29 05:28:54,Находящийся под стражей в США Мадуро поблагодарил сторонников за поддержку,,Политика / Международные новости,ru,RU
aa0fb29a52db,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186288-kongressvumen-luna,2026-03-29 06:02:22,Конгрессвумен Луна раскритиковала коллег за осуждение контактов с депутатами РФ,,Политика / Международные отношения,ru,RU
a95417858364,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186289-dmitriev-sironiziroval,2026-03-29 06:23:19,Дмитриев сыронизировал в адрес Каллас из-за ее перепалки с Рубио по России,,Политика / Международные отношения,ru,RU
0f6abebbf6f1,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186290-putin-rossiya-otkrita,2026-03-29 06:39:37,Путин: Россия открыта к проведению летних и зимних Олимпийских игр,,Политика / Международные отношения,ru,RU
a8b42dad1af4,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186292-telegraph-konflikt,2026-03-29 07:01:09,Telegraph: конфликт в Иране грозит кризисом на рынке удобрений,,Политика / Международные новости,ru,RU
7556a589929a,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186298-na-podlete,2026-03-29 07:22:35,На подлете к Москве сбили шесть беспилотников,,Политика / Армия и спецслужбы,ru,RU
6b06319f1385,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186299-gosdume-predlozhili,2026-03-29 07:37:04,В Госдуме предложили проработать самозапрет на компьютерные игры,,Политика / Власть,ru,RU
cc451ccabc8f,vedomosti,https://www.vedomosti.ru/society/news/2026/03/29/1186300-tishkovets-snezhnii,2026-03-29 07:48:30,Тишковец: снежный покров в Москве и Подмосковье исчезнет с началом апреля,,Общество,ru,RU
e4288e560f5e,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186301-vitse-mera-chelyabinska,2026-03-29 08:04:44,Вице-мэра Челябинска Александра Астахова заключили под стражу,,Политика / Власть,ru,RU
a4308aaf7a01,vedomosti,https://www.vedomosti.ru/technology/news/2026/03/29/1186302-uchenie-sozdali,2026-03-29 08:23:14,Ученые создали цифровую копию мозга насекомого,,Технологии / Наукоемкие технологии,ru,RU
7c97b43775be,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186306-peskov-nazval,2026-03-29 08:46:13,Песков назвал «Совет мира» Трампа неактуальным из-за войны в Иране,,Политика / Международные отношения,ru,RU
cd5f912db7c0,vedomosti,https://www.vedomosti.ru/business/news/2026/03/29/1186307-pulkovo-soobschili,2026-03-29 08:56:43,В «Пулково» сообщили о задержках 25 рейсов из-за ограничений на вылеты,,Бизнес / Транспорт,ru,RU
d858c26996b8,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186308-the-guardian-vens,2026-03-29 09:21:22,Reuters: Вэнс стал главным претендентом на выдвижение в президенты США,,Политика / Международные новости,ru,RU
0d6529820bc6,vedomosti,https://www.vedomosti.ru/technology/news/2026/03/29/1186310-v-spch-zayavili,2026-03-29 09:22:35,В СПЧ заявили о высокой вероятности возобновления работы Telegram в России,,Технологии / Интернет и digital,ru,RU
